0,0,test,0
1,1,a la carte,5.2
2,2,plate,9.8
3,3,bigger plate,11.3
3,4,a la carte,5.2
4,5,bigger plate,11.3
4,6,appetizer,2.3
5,7,bowl,8.3
5,8,bowl,8.3
5,9,plate,9.8
6,10,bigger plate,12.3
7,11,plate,9.8
8,12,plate,9.8
8,13,appetizer,2
8,14,plate,9.8
9,15,plate,9.8
9,16,plate,9.8
9,17,plate,9.8
9,18,bigger plate,11.3
10,19,bowl,8.3
10,20,bigger plate,11.3
11,21,bigger plate,11.3
12,22,plate,9.8
12,23,appetizer,2.1
12,24,plate,9.8
12,25,bowl,8.3
12,26,bowl,8.3
13,27,plate,9.8
13,28,appetizer,2
13,29,plate,10.8
13,30,plate,9.8
13,31,appetizer,2
13,32,appetizer,2.1
13,33,a la carte,5.2
13,34,appetizer,2.3
14,35,bowl,8.3
14,36,bowl,8.3
14,37,appetizer,2.3
15,38,bigger plate,11.3
16,39,a la carte,6.7
16,40,appetizer,2
17,41,plate,9.8
17,42,appetizer,2.1
18,43,plate,9.8
18,44,bowl,8.3
18,45,appetizer,2
19,46,plate,9.8
19,47,appetizer,2.1
19,48,plate,10.8
19,49,appetizer,2.1
19,50,bigger plate,12.3
19,51,a la carte,5.2
20,52,bowl,8.3
20,53,appetizer,2.1
21,54,a la carte,5.2
21,55,bigger plate,11.3
22,56,bigger plate,13.3
22,57,bigger plate,11.3
22,58,appetizer,2
23,59,bowl,8.3
24,60,a la carte,4.4
25,61,bowl,8.3
25,62,appetizer,2.5
26,63,a la carte,5.2
26,64,plate,9.8
26,65,a la carte,4.4
26,66,plate,9.8
26,67,appetizer,2.1
26,68,a la carte,5.2
27,69,a la carte,5.2
27,70,bowl,8.3
27,71,appetizer,2
27,72,appetizer,2.1
28,73,plate,9.8
28,74,appetizer,2.5
29,75,bigger plate,11.3
29,76,appetizer,2
29,77,bowl,8.3
30,78,bowl,8.3
30,79,bowl,8.3
30,80,appetizer,2.1
30,81,bowl,8.3
30,82,appetizer,2.5
31,83,plate,9.8
32,84,a la carte,4.4
32,85,appetizer,2
33,86,plate,9.8
33,87,appetizer,2
33,88,a la carte,5.2
33,89,appetizer,2
34,90,bowl,8.3
35,91,a la carte,4.4
35,92,appetizer,2.3
35,93,bowl,9.3
35,94,appetizer,2
35,95,appetizer,2.1
35,96,plate,9.8
35,97,appetizer,2
36,98,bowl,8.3
37,99,a la carte,5.2
37,100,plate,9.8
37,101,appetizer,2.1
38,102,plate,9.8
38,103,appetizer,2
38,104,appetizer,2.5
38,105,bowl,8.3
38,106,plate,9.8
39,107,a la carte,5.2
39,108,bowl,8.3
39,109,appetizer,2.5
39,110,plate,9.8
39,111,appetizer,2
39,112,plate,9.8
40,113,plate,9.8
40,114,appetizer,2
40,115,appetizer,2.3
41,116,bigger plate,11.3
41,117,bigger plate,11.3
41,118,appetizer,2
41,119,appetizer,2.1
41,120,a la carte,5.2
41,121,appetizer,2
41,122,appetizer,2.3
42,123,plate,9.8
43,124,bigger plate,11.3
43,125,appetizer,2
43,126,plate,9.8
43,127,appetizer,2
43,128,bigger plate,11.3
43,129,plate,9.8
44,130,a la carte,5.2
44,131,bigger plate,11.3
45,132,plate,9.8
45,133,appetizer,2.1
46,134,plate,9.8
46,135,a la carte,5.2
47,136,plate,9.8
47,137,appetizer,2.1
47,138,plate,9.8
48,139,a la carte,5.2
49,140,plate,9.8
49,141,appetizer,2
49,142,bowl,8.3
49,143,appetizer,2.5
50,144,a la carte,5.2
50,145,bigger plate,11.3
50,146,a la carte,5.2
50,147,appetizer,2
50,148,appetizer,2.5
51,149,a la carte,5.2
51,150,appetizer,2.1
52,151,plate,11.8
52,152,appetizer,2.1
53,153,a la carte,5.2
54,154,bowl,8.3
54,155,bowl,8.3
54,156,appetizer,2.5
54,157,plate,9.8
54,158,appetizer,2.3
54,159,plate,9.8
55,160,bowl,8.3
55,161,appetizer,2.1
56,162,a la carte,4.4
56,163,appetizer,2
57,164,bowl,8.3
57,165,plate,9.8
57,166,appetizer,2.5
57,167,bowl,8.3
57,168,appetizer,2
57,169,bigger plate,11.3
57,170,appetizer,2.3
57,171,bowl,8.3
58,172,bigger plate,11.3
58,173,appetizer,2.1
58,174,plate,9.8
59,175,plate,9.8
60,176,bowl,8.3
61,177,plate,9.8
61,178,bowl,8.3
61,179,plate,9.8
61,180,appetizer,2.5
61,181,bowl,8.3
62,182,a la carte,5.2
