0,2024-01-01 10:00:00,1,0,test
1,2024-01-01 10:15:00,3,5.2,card
2,2024-01-01 10:20:00,4,9.8,card
3,2024-01-01 10:25:00,3,16.5,card
4,2024-01-01 10:29:00,3,13.6,cash
5,2024-01-01 10:30:00,1,26.4,cash
6,2024-01-01 10:31:00,1,12.3,card
7,2024-01-01 10:33:00,1,9.8,card
8,2024-01-01 10:38:00,2,21.6,card
9,2024-01-01 10:41:00,4,40.7,card
10,2024-01-01 10:45:00,1,19.6,card
11,2024-01-01 10:46:00,2,11.3,card
12,2024-01-01 10:47:00,1,38.3,card
13,2024-01-01 10:49:00,1,44.0,card
14,2024-01-01 10:53:00,4,18.9,card
15,2024-01-01 10:57:00,3,11.3,card
16,2024-01-01 11:10:00,4,8.7,card
17,2024-01-01 11:12:00,4,11.9,gift card
18,2024-01-01 11:13:00,3,20.1,card
19,2024-01-01 11:17:00,3,42.3,cash
20,2024-01-01 11:22:00,1,10.4,card
21,2024-01-01 11:26:00,1,16.5,card
22,2024-01-01 11:27:00,2,26.6,card
23,2024-01-01 11:28:00,4,8.3,card
24,2024-01-01 11:30:00,1,4.4,card
25,2024-01-01 11:33:00,4,10.8,card
26,2024-01-01 11:36:00,1,36.5,card
27,2024-01-01 11:39:00,3,17.6,card
28,2024-01-01 11:44:00,2,12.3,card
29,2024-01-01 11:45:00,4,21.6,card
30,2024-01-01 11:49:00,1,29.5,card
31,2024-01-01 11:50:00,1,9.8,card
32,2024-01-01 11:53:00,4,6.4,card
33,2024-01-01 11:54:00,1,19.0,card
34,2024-01-01 11:59:00,1,8.3,card
35,2024-01-01 12:10:00,4,31.9,card
36,2024-01-01 12:11:00,4,8.3,card
37,2024-01-01 12:14:00,3,17.1,card
38,2024-01-01 12:18:00,4,32.4,card
39,2024-01-01 12:23:00,4,37.6,card
40,2024-01-01 12:26:00,2,14.1,cash
41,2024-01-01 12:30:00,1,36.2,card
42,2024-01-01 12:33:00,1,9.8,card
43,2024-01-01 12:37:00,1,46.2,card
44,2024-01-01 12:41:00,2,16.5,card
45,2024-01-01 12:42:00,1,11.9,card
46,2024-01-01 12:43:00,1,15.0,card
47,2024-01-01 12:46:00,2,21.7,card
48,2024-01-01 12:48:00,4,5.2,cash
49,2024-01-01 12:52:00,2,22.6,cash
50,2024-01-01 12:55:00,3,26.2,card
51,2024-01-01 12:59:00,3,7.3,cash
52,2024-01-01 13:10:00,1,13.9,card
53,2024-01-01 13:11:00,2,5.2,card
54,2024-01-01 13:16:00,2,41.0,card
55,2024-01-01 13:17:00,2,10.4,card
56,2024-01-01 13:18:00,3,6.4,card
